position,temperature,humidity,moisture,time,createdAt,updatedAt,__v
Malabe,30.8,81,2640,2025-04-07 10:09:21.334,2025-04-07 10:09:21.337,2025-04-07 10:09:21.337,0
Malabe,30.8,81,2661,2025-04-07 10:11:02.043,2025-04-07 10:11:02.044,2025-04-07 10:11:02.044,0
Malabe,30.8,83,2587,2025-04-07 10:13:24.384,2025-04-07 10:13:24.384,2025-04-07 10:13:24.384,0
Malabe,30.8,83,2624,2025-04-07 10:18:28.153,2025-04-07 10:18:28.154,2025-04-07 10:18:28.154,0
Malabe,28.9,88,1385,2025-04-08 04:21:32.895,2025-04-08 04:21:32.899,2025-04-08 04:21:32.899,0
Malabe,29.3,86,1393,2025-04-08 04:24:18.441,2025-04-08 04:24:18.442,2025-04-08 04:24:18.442,0
Malabe,29.3,85,1317,2025-04-08 04:26:37.764,2025-04-08 04:26:37.764,2025-04-08 04:26:37.764,0
Malabe,29.3,86,1287,2025-04-08 04:31:41.287,2025-04-08 04:31:41.320,2025-04-08 04:31:41.320,0
Malabe,31.3,75,1303,2025-04-08 04:36:44.686,2025-04-08 04:36:44.686,2025-04-08 04:36:44.686,0
Malabe,31.8,72,1355,2025-04-08 04:41:48.388,2025-04-08 04:41:48.388,2025-04-08 04:41:48.388,0
Malabe,31.8,72,1297,2025-04-08 04:46:51.970,2025-04-08 04:46:51.970,2025-04-08 04:46:51.970,0
Malabe,31.3,71,1345,2025-04-08 04:51:55.382,2025-04-08 04:51:55.382,2025-04-08 04:51:55.382,0
Malabe,30.8,75,1299,2025-04-08 04:56:59.074,2025-04-08 04:56:59.074,2025-04-08 04:56:59.074,0
Malabe,30.2,75,1309,2025-04-08 05:02:02.530,2025-04-08 05:02:02.531,2025-04-08 05:02:02.531,0
Malabe,31.8,69,1358,2025-04-08 05:07:06.086,2025-04-08 05:07:06.087,2025-04-08 05:07:06.087,0
Malabe,32.3,68,1321,2025-04-08 05:12:09.508,2025-04-08 05:12:09.509,2025-04-08 05:12:09.509,0
Malabe,31.3,68,1361,2025-04-08 05:17:13.019,2025-04-08 05:17:13.019,2025-04-08 05:17:13.019,0
Malabe,31.8,71,1361,2025-04-08 05:22:16.650,2025-04-08 05:22:16.650,2025-04-08 05:22:16.650,0
Malabe,31.3,73,1344,2025-04-08 05:27:20.159,2025-04-08 05:27:20.159,2025-04-08 05:27:20.159,0
Malabe,30.8,75,1313,2025-04-08 05:32:23.762,2025-04-08 05:32:23.762,2025-04-08 05:32:23.762,0
Malabe,30.8,75,1340,2025-04-08 05:37:27.174,2025-04-08 05:37:27.174,2025-04-08 05:37:27.174,0
Malabe,31.3,75,1334,2025-04-08 05:42:34.923,2025-04-08 05:42:34.927,2025-04-08 05:42:34.927,0
Malabe,31.3,71,1391,2025-04-08 05:47:42.691,2025-04-08 05:47:42.695,2025-04-08 05:47:42.695,0
Malabe,31.8,71,1343,2025-04-08 05:52:47.002,2025-04-08 05:52:47.002,2025-04-08 05:52:47.002,0
Malabe,31.8,70,1355,2025-04-08 05:57:50.562,2025-04-08 05:57:50.562,2025-04-08 05:57:50.562,0
Malabe,31.8,70,1409,2025-04-08 06:02:53.977,2025-04-08 06:02:54.002,2025-04-08 06:02:54.002,0
Malabe,32.8,70,1401,2025-04-08 06:07:57.517,2025-04-08 06:07:57.518,2025-04-08 06:07:57.518,0
Malabe,31.8,73,1373,2025-04-08 06:13:00.885,2025-04-08 06:13:00.885,2025-04-08 06:13:00.885,0
Malabe,32.3,74,1392,2025-04-08 06:18:04.435,2025-04-08 06:18:04.435,2025-04-08 06:18:04.435,0
Malabe,33.3,66,1372,2025-04-08 06:23:07.950,2025-04-08 06:23:07.950,2025-04-08 06:23:07.950,0
Malabe,31.8,71,1366,2025-04-08 06:28:11.342,2025-04-08 06:28:11.343,2025-04-08 06:28:11.343,0
Malabe,31.3,75,1354,2025-04-08 06:33:14.750,2025-04-08 06:33:14.750,2025-04-08 06:33:14.750,0
Malabe,31.8,75,1409,2025-04-08 06:38:18.164,2025-04-08 06:38:18.164,2025-04-08 06:38:18.164,0
Malabe,32.3,72,1393,2025-04-08 06:43:21.809,2025-04-08 06:43:21.810,2025-04-08 06:43:21.810,0
Malabe,32.8,72,1379,2025-04-08 06:48:25.304,2025-04-08 06:48:25.304,2025-04-08 06:48:25.304,0
Malabe,32.8,72,1395,2025-04-08 06:53:28.816,2025-04-08 06:53:28.816,2025-04-08 06:53:28.816,0
Malabe,32.3,73,1399,2025-04-08 06:58:36.281,2025-04-08 06:58:36.285,2025-04-08 06:58:36.285,0
Malabe,32.3,74,1396,2025-04-08 07:03:44.040,2025-04-08 07:03:44.044,2025-04-08 07:03:44.044,0
Malabe,32.3,74,1414,2025-04-08 07:08:48.538,2025-04-08 07:08:48.539,2025-04-08 07:08:48.539,0
Malabe,32.3,74,1392,2025-04-08 07:13:52.082,2025-04-08 07:13:52.082,2025-04-08 07:13:52.082,0
Malabe,32.8,73,1408,2025-04-08 07:18:55.631,2025-04-08 07:18:55.631,2025-04-08 07:18:55.631,0
Malabe,32.3,74,1424,2025-04-08 07:23:59.130,2025-04-08 07:23:59.130,2025-04-08 07:23:59.130,0
Malabe,32.8,72,1405,2025-04-08 07:29:02.534,2025-04-08 07:29:02.534,2025-04-08 07:29:02.534,0
Malabe,33.3,70,1408,2025-04-08 07:34:05.933,2025-04-08 07:34:05.933,2025-04-08 07:34:05.933,0
Malabe,32.8,71,1435,2025-04-08 07:39:09.474,2025-04-08 07:39:09.475,2025-04-08 07:39:09.475,0
Malabe,33.3,69,1427,2025-04-08 07:44:12.876,2025-04-08 07:44:12.876,2025-04-08 07:44:12.876,0
Malabe,32.8,71,1407,2025-04-08 07:49:18.369,2025-04-08 07:49:18.369,2025-04-08 07:49:18.369,0
Malabe,32.8,71,1391,2025-04-08 07:54:21.966,2025-04-08 07:54:21.966,2025-04-08 07:54:21.966,0
Malabe,32.7,71,1406,2025-04-08 07:59:25.487,2025-04-08 07:59:25.487,2025-04-08 07:59:25.487,0
Malabe,32.8,71,1431,2025-04-08 08:04:32.571,2025-04-08 08:04:32.575,2025-04-08 08:04:32.575,0
Malabe,32.8,71,1419,2025-04-08 08:09:40.531,2025-04-08 08:09:40.539,2025-04-08 08:09:40.539,0
Malabe,32.8,71,1407,2025-04-08 08:14:44.637,2025-04-08 08:14:44.638,2025-04-08 08:14:44.638,0
Malabe,33.3,68,1430,2025-04-08 08:19:48.135,2025-04-08 08:19:48.135,2025-04-08 08:19:48.135,0
Malabe,33.8,68,1423,2025-04-08 08:24:51.712,2025-04-08 08:24:51.712,2025-04-08 08:24:51.712,0
Malabe,33.3,69,1424,2025-04-08 08:29:55.163,2025-04-08 08:29:55.164,2025-04-08 08:29:55.164,0
Malabe,33.3,69,1462,2025-04-08 08:34:58.673,2025-04-08 08:34:58.673,2025-04-08 08:34:58.673,0
Malabe,33.7,68,1462,2025-04-08 08:40:02.190,2025-04-08 08:40:02.191,2025-04-08 08:40:02.191,0
Malabe,33.3,69,1427,2025-04-08 08:45:05.605,2025-04-08 08:45:05.605,2025-04-08 08:45:05.605,0
Malabe,33.3,68,1431,2025-04-08 08:50:09.122,2025-04-08 08:50:09.122,2025-04-08 08:50:09.122,0
Malabe,33.3,69,1469,2025-04-08 08:55:12.661,2025-04-08 08:55:12.661,2025-04-08 08:55:12.661,0
Malabe,32.8,70,1480,2025-04-08 09:00:16.047,2025-04-08 09:00:16.047,2025-04-08 09:00:16.047,0
Malabe,32.8,72,1462,2025-04-08 09:05:19.580,2025-04-08 09:05:19.580,2025-04-08 09:05:19.580,0
Malabe,32.8,71,1424,2025-04-08 09:10:23.107,2025-04-08 09:10:23.108,2025-04-08 09:10:23.108,0
Malabe,32.8,71,1473,2025-04-08 09:15:26.499,2025-04-08 09:15:26.499,2025-04-08 09:15:26.499,0
Malabe,32.8,71,1450,2025-04-08 09:20:33.610,2025-04-08 09:20:33.614,2025-04-08 09:20:33.614,0
Malabe,33.3,69,1449,2025-04-08 09:25:41.529,2025-04-08 09:25:41.533,2025-04-08 09:25:41.533,0
Malabe,33.3,68,1431,2025-04-08 09:30:46.012,2025-04-08 09:30:46.013,2025-04-08 09:30:46.013,0
Malabe,33.3,68,1456,2025-04-08 09:35:49.638,2025-04-08 09:35:49.638,2025-04-08 09:35:49.638,0
Malabe,32.8,69,1467,2025-04-08 09:40:53.067,2025-04-08 09:40:53.067,2025-04-08 09:40:53.067,0
Malabe,32.8,69,1477,2025-04-08 09:45:56.506,2025-04-08 09:45:56.507,2025-04-08 09:45:56.507,0
Malabe,32.8,70,1472,2025-04-08 09:51:00.002,2025-04-08 09:51:00.002,2025-04-08 09:51:00.002,0
Malabe,32.5,69,1479,2025-04-08 09:56:03.530,2025-04-08 09:56:03.530,2025-04-08 09:56:03.530,0
Malabe,32.8,70,1450,2025-04-08 10:01:07.039,2025-04-08 10:01:07.040,2025-04-08 10:01:07.040,0
Malabe,32.8,70,1439,2025-04-08 10:06:10.561,2025-04-08 10:06:10.561,2025-04-08 10:06:10.561,0
Malabe,32.8,71,1470,2025-04-08 10:11:14.312,2025-04-08 10:11:14.312,2025-04-08 10:11:14.312,0
Malabe,32.8,70,1457,2025-04-08 10:16:21.711,2025-04-08 10:16:21.723,2025-04-08 10:16:21.723,0
Malabe,32.8,69,1489,2025-04-08 10:21:29.332,2025-04-08 10:21:29.336,2025-04-08 10:21:29.336,0
Malabe,32.8,69,1446,2025-04-08 10:26:33.682,2025-04-08 10:26:33.683,2025-04-08 10:26:33.683,0
Malabe,32.8,69,1491,2025-04-08 10:31:37.150,2025-04-08 10:31:37.151,2025-04-08 10:31:37.151,0
Malabe,32.8,70,1463,2025-04-08 10:36:40.839,2025-04-08 10:36:40.839,2025-04-08 10:36:40.839,0
Malabe,32.3,71,1453,2025-04-08 10:41:44.402,2025-04-08 10:41:44.415,2025-04-08 10:41:44.415,0
Malabe,32.3,70,1489,2025-04-08 10:46:47.895,2025-04-08 10:46:47.895,2025-04-08 10:46:47.895,0
Malabe,32.3,71,1466,2025-04-08 10:51:51.400,2025-04-08 10:51:51.400,2025-04-08 10:51:51.400,0
Malabe,32.3,70,1489,2025-04-08 10:56:54.919,2025-04-08 10:56:54.919,2025-04-08 10:56:54.919,0
Malabe,32.3,71,1477,2025-04-08 11:01:58.529,2025-04-08 11:01:58.529,2025-04-08 11:01:58.529,0
Malabe,32.3,70,1454,2025-04-08 11:07:02.067,2025-04-08 11:07:02.067,2025-04-08 11:07:02.067,0
Malabe,32.3,71,1490,2025-04-08 11:12:05.605,2025-04-08 11:12:05.606,2025-04-08 11:12:05.606,0
Malabe,31.8,71,1467,2025-04-08 11:17:09.092,2025-04-08 11:17:09.092,2025-04-08 11:17:09.092,0
Malabe,31.8,71,1491,2025-04-08 11:22:12.611,2025-04-08 11:22:12.612,2025-04-08 11:22:12.612,0
Malabe,31.8,71,1475,2025-04-08 11:27:19.594,2025-04-08 11:27:19.598,2025-04-08 11:27:19.598,0
Malabe,31.8,73,1489,2025-04-08 11:32:27.888,2025-04-08 11:32:27.892,2025-04-08 11:32:27.892,0
Malabe,31.8,72,1456,2025-04-08 11:37:32.253,2025-04-08 11:37:32.254,2025-04-08 11:37:32.254,0
Malabe,31.8,74,1513,2025-04-08 11:42:35.854,2025-04-08 11:42:35.855,2025-04-08 11:42:35.855,0
Malabe,31.3,71,1461,2025-04-08 11:47:39.471,2025-04-08 11:47:39.471,2025-04-08 11:47:39.471,0
Malabe,31.3,72,1458,2025-04-08 11:52:43.008,2025-04-08 11:52:43.008,2025-04-08 11:52:43.008,0
Malabe,31.3,74,1470,2025-04-08 11:57:46.533,2025-04-08 11:57:46.533,2025-04-08 11:57:46.533,0
Malabe,31.3,72,1477,2025-04-08 12:02:50.147,2025-04-08 12:02:50.147,2025-04-08 12:02:50.147,0
Malabe,31.3,75,1475,2025-04-08 12:07:53.747,2025-04-08 12:07:53.747,2025-04-08 12:07:53.747,0
Malabe,31.3,75,1474,2025-04-08 12:12:57.265,2025-04-08 12:12:57.266,2025-04-08 12:12:57.266,0
Malabe,30.8,75,1501,2025-04-08 12:18:00.908,2025-04-08 12:18:00.909,2025-04-08 12:18:00.909,0
Malabe,30.8,75,1492,2025-04-08 12:23:04.531,2025-04-08 12:23:04.532,2025-04-08 12:23:04.532,0
Malabe,30.8,77,1469,2025-04-08 12:28:08.128,2025-04-08 12:28:08.128,2025-04-08 12:28:08.128,0
Malabe,30.8,78,1490,2025-04-08 12:33:11.626,2025-04-08 12:33:11.626,2025-04-08 12:33:11.626,0
Malabe,30.8,77,1488,2025-04-08 12:38:15.154,2025-04-08 12:38:15.154,2025-04-08 12:38:15.154,0
Malabe,30.8,77,1505,2025-04-08 12:43:18.773,2025-04-08 12:43:18.773,2025-04-08 12:43:18.773,0
Malabe,30.2,79,1461,2025-04-08 12:48:25.890,2025-04-08 12:48:25.895,2025-04-08 12:48:25.895,0
Malabe,30.2,80,1482,2025-04-08 12:53:33.475,2025-04-08 12:53:33.479,2025-04-08 12:53:33.479,0
Malabe,30.2,80,1517,2025-04-08 12:58:41.429,2025-04-08 12:58:41.433,2025-04-08 12:58:41.433,0
Malabe,30.2,81,1475,2025-04-08 13:03:46.179,2025-04-08 13:03:46.180,2025-04-08 13:03:46.180,0
Malabe,30.2,82,1477,2025-04-08 13:08:49.820,2025-04-08 13:08:49.820,2025-04-08 13:08:49.820,0
